Timestamp,Where are you from 8am to 9am on Monday's?,9am to 10am?,10am to 11am?,11am to 12pm?,12pm to 1pm?,1pm to 2pm?,2pm to 3pm?,3pm to 4pm?,4pm to 5pm?,5pm to 6pm?,6pm to 7pm?,7pm to 8pm?,"Other - If we missed your location on a question, please put it here along with the question number (i.e. ""6. Turing Hall, 9. Parking lot""). Otherwise, just leave it blank"
2/25/2020 11:43:53,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Labs,Fuller Labs,Rubin Campus Center,Rubin Campus Center,Off campus or at home,Olin Hall,Olin Hall,
2/25/2020 11:44:45,Other or not listed,Other or not listed,Olin Hall,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Alden  Hall,Alden  Hall,Alden  Hall,50 Prescott (WPI Performance Engineering Lab) 
2/25/2020 11:47:11,Higgins Labs,Higgins Labs,Atwater Kent,Rubin Campus Center,Rubin Campus Center,Rubin Campus Center,Alden  Hall,Alden  Hall,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 11:58:01,Off campus or at home,Off campus or at home,Off campus or at home,Olin Hall,Rubin Campus Center,Rubin Campus Center,Rubin Campus Center,Higgins Labs,Higgins Labs,Off campus or at home,Off campus or at home,Alden  Hall,
2/25/2020 12:04:56,WPI Sports and Rec Center,Fuller Apartments,Salisbury Hall,Higgins Labs,Gordon Library,Rubin Campus Center,Gordon Library,Gordon Library,Gordon Library,Alden  Hall,Alden  Hall,Fuller Apartments,
2/25/2020 12:09:32,Off campus or at home,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Foisie Innovation Studio,Foisie Innovation Studio,Rubin Campus Center,Rubin Campus Center,Alden  Hall,Alden  Hall,Off campus or at home,2/3/4/5. Gateway Park
2/25/2020 12:14:25,Off campus or at home,Rubin Campus Center,Rubin Campus Center,Rubin Campus Center,Salisbury Hall,Fuller Labs,Rubin Campus Center,Rubin Campus Center,Alden  Hall,Alden  Hall,Alden  Hall,Rubin Campus Center,Salisbury LABS
2/25/2020 12:22:46,Off campus or at home,Atwater Kent,Rubin Campus Center,Rubin Campus Center,Fuller Labs,Rubin Campus Center,Higgins Labs,Gordon Library,Gordon Library,Alden  Hall,Alden  Hall,Rubin Campus Center,
2/25/2020 13:09:01,Off campus or at home,Off campus or at home,Salisbury Hall,Off campus or at home,Fuller Labs,Gordon Library,Gordon Library,WPI Sports and Rec Center,WPI Sports and Rec Center,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 13:19:24,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Labs,Fuller Labs,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,
2/25/2020 13:19:28,Off campus or at home,Off campus or at home,Goddard Hall,Goddard Hall,Rubin Campus Center,Rubin Campus Center,Washburn,Washburn,Gordon Library,Alden  Hall,Alden  Hall,Off campus or at home,
2/25/2020 13:20:01,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Hall,Fuller Labs,Fuller Labs,Salisbury Hall,Salisbury Hall,Salisbury Hall,Salisbury Hall,Salisbury Hall,Is Salsbury Hall the same as Salsbury Lab? All of my Salsbury answers are for Salsbury Lab. 
2/25/2020 13:25:19,East,East,East,East,Olin Hall,Rubin Campus Center,Washburn,Washburn,Salisbury Hall,Salisbury Hall,Rubin Campus Center,East,
2/25/2020 13:27:25,Gordon Library,Higgins Labs,Higgins Labs,Rubin Campus Center,Fuller Labs,Fuller Labs,Fuller Labs,Fuller Labs,East,East,East,East,
2/25/2020 13:29:01,WPI Sports and Rec Center,Fuller Labs,Fuller Labs,Fuller Apartments,Fuller Labs,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Foisie Innovation Studio,Other or not listed,WPI Sports and Rec Center,
2/25/2020 13:29:37,Salisbury Hall,Salisbury Hall,Off campus or at home,Higgins Labs,Higgins Labs,Fuller Labs,Fuller Labs,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 13:29:45,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Labs,Fuller Labs,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 14:08:10,Off campus or at home,Off campus or at home,WPI Sports and Rec Center,Fuller Labs,Fuller Labs,Fuller Labs,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 14:30:39,East,Atwater Kent,Higgins Labs,Higgins Labs,Rubin Campus Center,East,East,East,East,East,Olin Hall,Olin Hall,
2/25/2020 14:32:54,Off campus or at home,Off campus or at home,Off campus or at home,Rubin Campus Center,Rubin Campus Center,Rubin Campus Center,Fuller Labs,Rubin Campus Center,Salisbury Hall,Fuller Labs,Olin Hall,Olin Hall,Bet
2/25/2020 14:43:48,East,East,Higgins Labs,East,East,Fuller Labs,Fuller Labs,East,East,East,East,East,
2/25/2020 14:45:13,East,East,East,WPI Sports and Rec Center,Rubin Campus Center,Fuller Labs,Fuller Labs,Salisbury Hall,Salisbury Hall,Foisie Innovation Studio,East,East,
2/25/2020 15:40:38,Faraday,Higgins Labs,Higgins Labs,Faraday,Faraday,Fuller Labs,Fuller Labs,Fuller Labs,Faraday,Faraday,Faraday,Faraday,
2/25/2020 15:43:45,East,East,Olin Hall,East,East,East,Fuller Labs,East,East,Stratton Hall,Stratton Hall,Stratton Hall,
2/25/2020 15:53:24,Off campus or at home,Off campus or at home,Off campus or at home,Foisie Innovation Studio,Rubin Campus Center,Fuller Labs,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Labs,Salisbury Labs,
2/25/2020 16:11:41,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Labs,Salisbury Labs,Washburn,Washburn,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 19:15:03,Off campus or at home,Off campus or at home,Alden  Hall,Alden  Hall,Gordon Library,Fuller Labs,Fuller Labs,Fuller Labs,Fuller Labs,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 20:12:43,East,East,East,Other or not listed,Alden  Hall,Alden  Hall,Gordon Library,Gordon Library,East,Other or not listed,Stratton Hall,Stratton Hall,"11am-12pm is Academic Resources Center in the Wedge, 5pm-6pm in the Little Theatre "
2/25/2020 21:21:04,Off campus or at home,Off campus or at home,Rubin Campus Center,Rubin Campus Center,Gordon Library,Fuller Labs,Fuller Labs,Gordon Library,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
